idx,refcode,name,ligand,DOI,source,coodinated_molecules,charge_estimated,elements,modifications
1,EDUVOO,IRMOF-14,"2,7-pyrenedicarboxylic acid (PDC)",10.1126/science.1067208,CSD,,0,"H, C, O, Zn",Deleting free solvent atoms
2,FIJFUA,MOF-80,"2,7-pyrenedicarboxylic acid (PDC)",10.1021/ja045123o,CSD,"H2O, DMA",0,"H, C, N, O, Tb",Removing DMF free solvent molecules
3,NOCMIC,Sr(µ-DEF)(µ-PDC),"2,7-pyrenedicarboxylic acid (PDC)",10.1021/cg700731d,CSD,DEF,0,"H, C, N, O, Sr",Deleting half occupation atoms
5,JAZJOK,Ag4(L3)(Pyr)4(H2O)2,"1,3,6,8-pyrenetetrasulfonate (L3)",10.1021/ic050984z,CSD,,0,"H, C, N, O, S, Ag",None
6,GEJPAP,{[Dy4(μ-pytet)(μ4-pytet)2(DMF)20(H2O)2]·4DMF·4H2O}n ,"1,3,6,8-pyrenetetrasulfonate (L3)",10.1039/c7nj02935g,CSD,DMA ,0,"H, C, N, O, S, Dy",Removing half occupation atoms
8,YEYBOV,CALF-25,"Octaethyl pyrene- 1,3,6,8-tetraphosphonate",10.1021/ja306812r,CSD,H2O,0,"H, C, O, P, Ba",H atoms added to OH 
9,LEVLEF,Mg-PTCA,"Pyrene-1,3,6,8- tetracarboxylic acid (PTCA)",10.1039/c3cc38730e,CSD,H2O,0,"H, C, O, Mg",Deleting free solvent atoms and primitive cell
10,OFUTUH,Ni-PTCA,"Pyrene-1,3,6,8- tetracarboxylic acid (PTCA)",10.1002/cplu.201600121,CSD,H2O,-8,"H, C, O, Ni",None
11,KATTOR,Zn-PTCA-1,"Pyrene-1,3,6,8- tetracarboxylic acid (PTCA)",10.1021/acs.inorgchem.6b02407,CSD,DMA+,0,"H, Li, C, N, O, Zn",Deleting free solvent atoms
11,KATTUX,Zn-PTCA-2,"Pyrene-1,3,6,8- tetracarboxylic acid (PTCA)",10.1021/acs.inorgchem.6b02407,CSD,DMA+,0,"H, Li, C, N, O, Zn",Deleting free solvent atoms
12,LIKVIN,Cd-PTCA,"Pyrene-1,3,6,8- tetracarboxylic acid (PTCA)",10.1021/acs.cgd.8b01234,CSD,,-16,"H, C, O, Cd",None
14,NUHTIW,[Cd(PDT)2][Cd(en)3],"1,6-pyrenedithiolate (PDT)",10.1039/C9CE00875F,CSD,,0,"H, C, N, S, Cd",Deleting solvent and half occupation atoms
